Expression	Value	Location	Type	
cbs	<struct>	0x20000074	CircuitBreak	
go	1	0x20000114	uint8_t	
buff	<array>	0x20000118	uint16_t[1200]	
[0]	51	0x20000118	uint16_t	
[1]	47	0x2000011A	uint16_t	
[2]	42	0x2000011C	uint16_t	
[3]	47	0x2000011E	uint16_t	
[4]	50	0x20000120	uint16_t	
[5]	53	0x20000122	uint16_t	
[6]	45	0x20000124	uint16_t	
[7]	41	0x20000126	uint16_t	
[8]	46	0x20000128	uint16_t	
[9]	50	0x2000012A	uint16_t	
[10]	51	0x2000012C	uint16_t	
[11]	42	0x2000012E	uint16_t	
[12]	43	0x20000130	uint16_t	
[13]	47	0x20000132	uint16_t	
[14]	49	0x20000134	uint16_t	
[15]	48	0x20000136	uint16_t	
[16]	47	0x20000138	uint16_t	
[17]	47	0x2000013A	uint16_t	
[18]	48	0x2000013C	uint16_t	
[19]	41	0x2000013E	uint16_t	
[20]	49	0x20000140	uint16_t	
[21]	50	0x20000142	uint16_t	
[22]	44	0x20000144	uint16_t	
[23]	46	0x20000146	uint16_t	
[24]	42	0x20000148	uint16_t	
[25]	54	0x2000014A	uint16_t	
[26]	44	0x2000014C	uint16_t	
[27]	49	0x2000014E	uint16_t	
[28]	51	0x20000150	uint16_t	
[29]	43	0x20000152	uint16_t	
[30]	47	0x20000154	uint16_t	
[31]	50	0x20000156	uint16_t	
[32]	48	0x20000158	uint16_t	
[33]	48	0x2000015A	uint16_t	
[34]	48	0x2000015C	uint16_t	
[35]	45	0x2000015E	uint16_t	
[36]	47	0x20000160	uint16_t	
[37]	48	0x20000162	uint16_t	
[38]	43	0x20000164	uint16_t	
[39]	47	0x20000166	uint16_t	
[40]	47	0x20000168	uint16_t	
[41]	45	0x2000016A	uint16_t	
[42]	45	0x2000016C	uint16_t	
[43]	50	0x2000016E	uint16_t	
[44]	48	0x20000170	uint16_t	
[45]	44	0x20000172	uint16_t	
[46]	47	0x20000174	uint16_t	
[47]	48	0x20000176	uint16_t	
[48]	44	0x20000178	uint16_t	
[49]	47	0x2000017A	uint16_t	
[50]	46	0x2000017C	uint16_t	
[51]	45	0x2000017E	uint16_t	
[52]	45	0x20000180	uint16_t	
[53]	50	0x20000182	uint16_t	
[54]	46	0x20000184	uint16_t	
[55]	47	0x20000186	uint16_t	
[56]	51	0x20000188	uint16_t	
[57]	47	0x2000018A	uint16_t	
[58]	45	0x2000018C	uint16_t	
[59]	45	0x2000018E	uint16_t	
[60]	47	0x20000190	uint16_t	
[61]	52	0x20000192	uint16_t	
[62]	48	0x20000194	uint16_t	
[63]	42	0x20000196	uint16_t	
[64]	49	0x20000198	uint16_t	
[65]	48	0x2000019A	uint16_t	
[66]	44	0x2000019C	uint16_t	
[67]	47	0x2000019E	uint16_t	
[68]	46	0x200001A0	uint16_t	
[69]	47	0x200001A2	uint16_t	
[70]	50	0x200001A4	uint16_t	
[71]	46	0x200001A6	uint16_t	
[72]	42	0x200001A8	uint16_t	
[73]	49	0x200001AA	uint16_t	
[74]	50	0x200001AC	uint16_t	
[75]	46	0x200001AE	uint16_t	
[76]	44	0x200001B0	uint16_t	
[77]	43	0x200001B2	uint16_t	
[78]	43	0x200001B4	uint16_t	
[79]	50	0x200001B6	uint16_t	
[80]	48	0x200001B8	uint16_t	
[81]	45	0x200001BA	uint16_t	
[82]	50	0x200001BC	uint16_t	
[83]	46	0x200001BE	uint16_t	
[84]	43	0x200001C0	uint16_t	
[85]	47	0x200001C2	uint16_t	
[86]	49	0x200001C4	uint16_t	
[87]	47	0x200001C6	uint16_t	
[88]	48	0x200001C8	uint16_t	
[89]	44	0x200001CA	uint16_t	
[90]	47	0x200001CC	uint16_t	
[91]	48	0x200001CE	uint16_t	
[92]	46	0x200001D0	uint16_t	
[93]	46	0x200001D2	uint16_t	
[94]	47	0x200001D4	uint16_t	
[95]	50	0x200001D6	uint16_t	
[96]	47	0x200001D8	uint16_t	
[97]	45	0x200001DA	uint16_t	
[98]	49	0x200001DC	uint16_t	
[99]	50	0x200001DE	uint16_t	
[100]	47	0x200001E0	uint16_t	
[101]	46	0x200001E2	uint16_t	
[102]	43	0x200001E4	uint16_t	
[103]	46	0x200001E6	uint16_t	
[104]	49	0x200001E8	uint16_t	
[105]	44	0x200001EA	uint16_t	
[106]	45	0x200001EC	uint16_t	
[107]	50	0x200001EE	uint16_t	
[108]	50	0x200001F0	uint16_t	
[109]	48	0x200001F2	uint16_t	
[110]	45	0x200001F4	uint16_t	
[111]	51	0x200001F6	uint16_t	
[112]	51	0x200001F8	uint16_t	
[113]	48	0x200001FA	uint16_t	
[114]	43	0x200001FC	uint16_t	
